player,team,competition_name,season_name,50/50,Bad Behaviour,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Injury Stoppage,Interception,Miscontrol,Offside,Own Goal Against,Own Goal For,Pass,Player Off,Player On,Pressure,Shield,Shot,Substitution
Dam-Yeong Shin,Korea Republic Women's,Women's World Cup,2019,0.0,0.0,37.0,5.0,0.0,35.0,5.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,9.0,0.0,0.0,0.0
Damaris Berta Egurrola Wienke,Everton LFC,FA Women's Super League,2020/2021,0.0,0.0,203.0,41.0,9.0,213.0,33.0,8.0,12.0,12.0,25.0,0.0,6.0,7.0,0.0,1.0,12.0,3.0,0.0,0.0,0.0,276.0,0.0,0.0,108.0,0.0,5.0,1.0
Damaris Berta Egurrola Wienke,Netherlands Women's,UEFA Women's Euro,2022,0.0,0.0,40.0,2.0,1.0,33.0,3.0,1.0,2.0,2.0,6.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,45.0,0.0,0.0,23.0,0.0,2.0,1.0
Damaris Berta Egurrola Wienke,Netherlands Women's,UEFA Women's Euro,2025,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,0.0,0.0
Damaris Berta Egurrola Wienke,Netherlands Women's,Women's World Cup,2023,0.0,0.0,106.0,24.0,9.0,88.0,8.0,7.0,0.0,4.0,20.0,0.0,7.0,1.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,141.0,1.0,1.0,64.0,0.0,3.0,1.0
Dani Weatherholt,Orlando Pride,NWSL,2018,3.0,0.0,255.0,38.0,27.0,208.0,3.0,9.0,10.0,15.0,19.0,0.0,6.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,243.0,0.0,0.0,137.0,0.0,12.0,1.0
Danica Evans,Orlando Pride,NWSL,2018,0.0,0.0,17.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,1.0,0.0
Daniela Alexandra Árias Rojas,Colombia Women's,Women's World Cup,2023,1.0,0.0,76.0,22.0,16.0,81.0,25.0,2.0,0.0,2.0,26.0,1.0,6.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,127.0,0.0,0.0,77.0,2.0,3.0,0.0
Daniela Montoya Quiróz,Colombia Women's,Women's World Cup,2023,0.0,0.0,62.0,13.0,6.0,49.0,4.0,3.0,0.0,4.0,14.0,0.0,6.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,71.0,0.0,0.0,68.0,0.0,2.0,3.0
Daniela Pardo,Chile Women's,Women's World Cup,2019,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
